"","bin_arch","sample","sum","bin_arch_name"
"271","_1.1.1_","QL150",3918.591502774,"PSII"
"272","_1.1.1_","QL153",3434.396382586,"PSII"
"273","_1.1.1_","QL171",3706.035567921,"PSII"
"274","_1.1.1_","QL231",7863.803392069,"PSII"
"275","_1.1.1_","QL232",8817.160835001,"PSII"
"276","_1.1.1_","QL237",2866.639082175,"PSII"
"277","_1.1.1_","QL238",5229.621357684,"PSII"
"278","_1.1.1_","QL241",2428.543153856,"PSII"
"279","_1.1.1_","QL325",2455.711396813,"PSII"
"280","_1.1.1_","QL397",4004.019869675,"PSII"
"281","_1.1.1_","QL401",2923.606152989,"PSII"
"282","_1.1.1_","QL450",6305.894676582,"PSII"
"283","_1.1.1_","QL452",2801.278884615,"PSII"
"284","_1.1.1_","RH002",8826.954750535,"PSII"
"285","_1.1.1_","RH005",3871.697151225,"PSII"
"286","_1.1.1_","RH059",5893.315575834,"PSII"
"287","_1.1.1_","RH099",1881.721003062,"PSII"
"288","_1.1.1_","RH103",4602.366426296,"PSII"
"289","_1.1.1_","RH118",8055.526916027,"PSII"
"290","_1.1.1_","RH123",5881.453941673,"PSII"
"291","_1.1.1_","T013",4722.357229288,"PSII"
"292","_1.1.1_","T014",6036.419029498,"PSII"
"293","_1.1.1_","T015",7086.359047879,"PSII"
"294","_1.1.1_","T018",5748.459368916,"PSII"
"295","_1.1.1_","T055",7303.148674551,"PSII"
"296","_1.1.1_","T057",4840.939780262,"PSII"
"297","_1.1.1_","T155",7711.471396042,"PSII"
"298","_1.1.1_","T227",5526.359423939,"PSII"
"299","_1.1.1_","T246",5658.598863362,"PSII"
"300","_1.1.1_","T328",7577.207794565,"PSII"
"301","_1.1.1_","T332",8511.759076616,"PSII"
"302","_1.1.1_","T373",6385.499538695,"PSII"
"303","_1.1.1_","T374",8068.226291591,"PSII"
"304","_1.1.1_","T403",4604.711208031,"PSII"
"305","_1.1.1_","T405",5085.472509851,"PSII"
"306","_1.1.1_","T406",7837.623459531,"PSII"
"307","_1.1.1_","YG020",3067.769840249,"PSII"
"308","_1.1.1_","YG021",9669.173782992,"PSII"
"309","_1.1.1_","YG029",1742.020532891,"PSII"
"310","_1.1.1_","YG043",3871.895019028,"PSII"
"311","_1.1.1_","YG071",6559.55988567,"PSII"
"312","_1.1.1_","YG075",4211.805626285,"PSII"
"313","_1.1.1_","YG076",6238.039998793,"PSII"
"314","_1.1.1_","YG188",7076.994898948,"PSII"
"315","_1.1.1_","BINCODE",0,"PSII"
"316","_1.1.1_","NAME",0,"PSII"
"317","_1.1.2_","KG077",1231.780092181,"PSI"
"318","_1.1.2_","KG106",1785.894075507,"PSI"
"319","_1.1.2_","KG122",2113.273236831,"PSI"
"320","_1.1.2_","QL136",2390.965573259,"PSI"
"321","_1.1.2_","QL151",1262.227915323,"PSI"
"322","_1.1.2_","QL185",2159.776293015,"PSI"
"323","_1.1.2_","QL229",2202.562957349,"PSI"
"324","_1.1.2_","QL236",2595.390834488,"PSI"
"325","_1.1.2_","QL304",751.51809689,"PSI"
"326","_1.1.2_","QL306",881.724129735,"PSI"
"327","_1.1.2_","RH006",2896.795726281,"PSI"
"328","_1.1.2_","RH060",999.530873604,"PSI"
"329","_1.1.2_","RH063",2637.244248031,"PSI"
"330","_1.1.2_","RH097",663.880628619,"PSI"
"331","_1.1.2_","T022",2267.696996137,"PSI"
"332","_1.1.2_","T054",1208.899744866,"PSI"
"333","_1.1.2_","T157",3639.81331404,"PSI"
"334","_1.1.2_","T162",2606.385037492,"PSI"
"335","_1.1.2_","T166",1759.537382461,"PSI"
"336","_1.1.2_","T319",927.854554847,"PSI"
"337","_1.1.2_","YG055",2596.660734588,"PSI"
"338","_1.1.2_","YG056",3032.827810414,"PSI"
"339","_1.1.2_","YG082",675.800670722,"PSI"
"340","_1.1.2_","YG135",2900.836187768,"PSI"
"341","_1.1.2_","KG022",1929.341285155,"PSI"
"342","_1.1.2_","KG024",1677.540890009,"PSI"
"343","_1.1.2_","KG038",1620.517197203,"PSI"
"344","_1.1.2_","KG049",3103.650068213,"PSI"
"345","_1.1.2_","KG079",1693.854301761,"PSI"
"346","_1.1.2_","KG081",3231.454084483,"PSI"
"347","_1.1.2_","KG123",1917.0249587,"PSI"
"348","_1.1.2_","KG133",1743.854883668,"PSI"
"349","_1.1.2_","KG137",2550.314005463,"PSI"
"350","_1.1.2_","QL111",1099.68646985,"PSI"
"351","_1.1.2_","QL116",617.723161615,"PSI"
"352","_1.1.2_","QL137",1289.770587507,"PSI"
"353","_1.1.2_","QL139",1681.303580065,"PSI"
"354","_1.1.2_","QL149",1713.497794489,"PSI"
"355","_1.1.2_","QL175",1824.122706285,"PSI"
"356","_1.1.2_","QL184",1427.558430359,"PSI"
"357","_1.1.2_","QL186",1136.96990735,"PSI"
"358","_1.1.2_","QL228",2502.328373494,"PSI"
"359","_1.1.2_","QL234",2297.22501582,"PSI"
"360","_1.1.2_","QL305",1631.707973929,"PSI"
"361","_1.1.2_","QL307",1883.113651175,"PSI"
"362","_1.1.2_","QL314",1465.773876921,"PSI"
"363","_1.1.2_","QL330",920.115230717,"PSI"
"364","_1.1.2_","QL331",572.275191091,"PSI"
"365","_1.1.2_","QL333",415.658795042,"PSI"
"366","_1.1.2_","QL398",1295.508956715,"PSI"
"367","_1.1.2_","QL453",1325.569763236,"PSI"
"368","_1.1.2_","QL456",1154.286712321,"PSI"
"369","_1.1.2_","RH056",2247.176226133,"PSI"
"370","_1.1.2_","RH065",1380.231585903,"PSI"
"371","_1.1.2_","RH101",1812.452178438,"PSI"
"372","_1.1.2_","RH124",2996.949680856,"PSI"
"373","_1.1.2_","T149",1228.18345478,"PSI"
"374","_1.1.2_","T159",1660.099931514,"PSI"
"375","_1.1.2_","T161",2855.595719591,"PSI"
"376","_1.1.2_","T219",3774.351875078,"PSI"
"377","_1.1.2_","T221",4566.754181534,"PSI"
"378","_1.1.2_","T245",2566.270546199,"PSI"
"379","_1.1.2_","T331",3355.076844796,"PSI"
"380","_1.1.2_","T336",5075.288729214,"PSI"
"381","_1.1.2_","T376",2030.893037493,"PSI"
"382","_1.1.2_","T377",1612.591509395,"PSI"
"383","_1.1.2_","T382",3641.760603144,"PSI"
"384","_1.1.2_","T397",2749.943940386,"PSI"
"385","_1.1.2_","YG054",2054.61117382,"PSI"
"386","_1.1.2_","YG080",3343.177874867,"PSI"
"387","_1.1.2_","YG186",996.781544274,"PSI"
"388","_1.1.2_","YG202",2192.086592701,"PSI"
"389","_1.1.2_","KG083",3895.478897537,"PSI"
"390","_1.1.2_","KG105",2749.84464574,"PSI"
"391","_1.1.2_","KG143",1617.957692941,"PSI"
"392","_1.1.2_","QL132",2855.079323371,"PSI"
"393","_1.1.2_","QL321",1549.967023722,"PSI"
"394","_1.1.2_","QL328",737.327426407,"PSI"
"395","_1.1.2_","QL411",1595.59063719,"PSI"
"396","_1.1.2_","QL449",2100.040896069,"PSI"
"397","_1.1.2_","RH003",2032.108055459,"PSI"
"398","_1.1.2_","RH011",988.120595877,"PSI"
"399","_1.1.2_","T023",2296.405697008,"PSI"
"400","_1.1.2_","T053",1002.030463633,"PSI"
"401","_1.1.2_","T153",1922.943115692,"PSI"
"402","_1.1.2_","T218",1841.741015789,"PSI"
"403","_1.1.2_","T242",1520.973445725,"PSI"
"404","_1.1.2_","T243",2586.687570095,"PSI"
"405","_1.1.2_","T372",2911.727296763,"PSI"
"406","_1.1.2_","YG017",826.173950909,"PSI"
"407","_1.1.2_","YG044",2528.209196968,"PSI"
"408","_1.1.2_","YG045",2236.259707389,"PSI"
"409","_1.1.2_","YG081",1655.709534535,"PSI"
"410","_1.1.2_","YG121",2474.211093708,"PSI"
"411","_1.1.2_","YG136",2945.765513719,"PSI"
"412","_1.1.2_","KG078",1695.598281341,"PSI"
"413","_1.1.2_","KG082",3975.633684135,"PSI"
"414","_1.1.2_","KG101",2561.578814797,"PSI"
"415","_1.1.2_","QL106",1602.527777323,"PSI"
"416","_1.1.2_","QL110",1060.767950971,"PSI"
"417","_1.1.2_","QL133",2637.541148814,"PSI"
"418","_1.1.2_","QL135",2278.351137631,"PSI"
"419","_1.1.2_","QL140",1455.622805243,"PSI"
"420","_1.1.2_","QL170",1810.999670487,"PSI"
"421","_1.1.2_","QL172",1801.926776254,"PSI"
"422","_1.1.2_","QL327",780.167708961,"PSI"
"423","_1.1.2_","QL406",965.93498273,"PSI"
"424","_1.1.2_","RH057",2699.277617941,"PSI"
"425","_1.1.2_","RH122",3095.73927823,"PSI"
"426","_1.1.2_","T158",1771.795933743,"PSI"
"427","_1.1.2_","T165",1906.487911396,"PSI"
"428","_1.1.2_","T222",5164.220048961,"PSI"
"429","_1.1.2_","T241",2319.783083916,"PSI"
"430","_1.1.2_","T249",972.195432404,"PSI"
"431","_1.1.2_","T320",2429.550081894,"PSI"
"432","_1.1.2_","T321",1969.868074965,"PSI"
"433","_1.1.2_","T323",2345.980512725,"PSI"
"434","_1.1.2_","T333",1770.232987738,"PSI"
"435","_1.1.2_","T339",2946.758673626,"PSI"
"436","_1.1.2_","KG135",1544.957135606,"PSI"
"437","_1.1.2_","KG139",2449.681356292,"PSI"
"438","_1.1.2_","KG142",2120.137981001,"PSI"
"439","_1.1.2_","QL108",977.631704693,"PSI"
"440","_1.1.2_","QL112",1456.491104653,"PSI"
"441","_1.1.2_","QL144",1324.490022685,"PSI"
"442","_1.1.2_","QL147",625.52584438,"PSI"
"443","_1.1.2_","QL152",1591.770276045,"PSI"
"444","_1.1.2_","QL235",1582.739691193,"PSI"
