extraction_number,sample_number,species_confirmed
26-06,T233,banmar
26-07,KG065,grespe
26-08,QL018,opihet
26-09,T210,perjun
26-10,QL180,banaqu
26-11,QL094,grepar
26-12,T356,lomtin
26-13,QL463,hakarb
26-14,T169,teltru
26-15,T047,orirev
26-16,T112,lompol
26-17,QL252,perfal
26-18,KG093,xylpyr
26-19,QL064,grehil
26-20,QL288,xylsco
26-21,RH070,greill
26-22,QL339,gremim
26-23,KG110,xylpyr
26-24,RH074,greill
26-25,QL086,grepte
26-26,T117,oridiv
26-27,QL286,xylsco
26-28,T115,oridiv
26-29,QL090,grepte
26-30,T038,orirev
26-31,QL291,gregla
26-32,T030,oriaci
26-33,QL091,grepte
26-34,T186,agaodo
26-35,T235,banmar
26-36,T358,lomtin
26-37,KG131,xylpyr
26-38,KG061,haklae
26-39,QL177,banaqu
26-40,T270,conhoo
26-41,T108,lompol
26-42,QL354,grepar
26-43,QL282,xylsco
26-44,KG054,perlev
26-45,QL043,carsub
26-46,T109,lompol
26-47,QL157,grebai
26-48,QL165,grebai
27-01,YG199,perlan
27-02,T209,perjun
27-03,KG074,haklae
27-04,T182,agaodo
27-05,QL159,grebai
27-06,T283,banmar
27-07,KG098,greser
27-08,QL005,athdiv
27-09,T262,conhoo
27-10,QL458,hakarb
27-11,QL011,athdiv
27-12,QL021,opihet
27-13,KG126,greser
27-14,T037,orirev
27-15,QL168,banaqu
27-16,RH048,greane
27-17,QL347,grepar
27-18,YG112,perlin
27-19,RH045,greane
27-20,QL092,grepte
27-21,T214,perjun
27-22,T104,lompol
27-23,QL084,grepte
27-24,T266,conhoo
27-25,YG060,gremuc
27-26,T267,conhoo
27-27,KG018,grespe
27-28,QL207,grepte
27-29,QL273,gregla
27-30,YG180,grebux
27-31,QL246,perfal
27-32,RH052,greane
27-33,YG175,perlan
27-34,QL098,grepar
27-35,QL042,carsub
27-36,T238,banmar
27-37,QL204,grepte
27-38,T075,banmar
27-39,QL279,gregla
27-40,YG196,grebux
27-41,KG085,perlev
27-42,T096,teltru
27-43,T125,oridiv
27-44,T026,oriaci
27-45,YG183,perlan
27-46,QL199,grepte
27-47,T282,banmar
27-48,KG099,greser
28-01,QL066,grehil
28-02,T041,orirev
28-03,T272,conhoo
28-04,QL158,grebai
28-05,T034,oriaci
28-06,QL167,banaqu
28-07,QL281,xylsco
28-08,QL200,grepte
28-09,KG111,xylpyr
28-10,T237,banmar
28-11,T116,oridiv
28-12,QL201,grepte
28-13,T211,perjun
28-14,QL348,grepar
28-15,QL023,darfer
28-16,YG191,hakdac
28-17,QL182,banaqu
28-18,QL344,gremim
28-19,QL181,banaqu
28-20,T280,banmar
28-21,QL356,grepar
28-22,T093,teltru
28-23,KG012,haklae
28-24,YG197,grebux
28-25,RH069,greill
28-26,KG095,xylpyr
28-27,KG058,grespe
28-28,YG179,grebux
28-29,T183,agaodo
28-30,QL104,grepar
28-31,QL036,carsub
28-32,QL164,grebai
28-33,QL162,grebai
28-34,T103,lompol
28-35,T201,cennit
28-36,YG059,gremuc
28-37,T187,agaodo
28-38,T229,banmar
28-39,QL015,opihet
28-40,T100,teltru
28-41,YG172,hakdac
28-42,QL067,grehil
28-43,T070,banmar
28-44,YG067,perlin
28-45,QL342,gremim
28-46,YG209,perlan
28-47,T175,teltru
28-48,QL163,grebai
29-01,QL032,darfer
29-02,YG182,perlan
29-03,KG057,grespe
29-04,QL244,perfal
29-05,T231,banmar
29-06,QL274,gregla
29-07,T359,lomtin
29-08,YG181,grebux
29-09,QL166,banaqu
29-10,YG166,grebux
29-11,QL088,grepte
29-12,T274,banmar
29-13,QL009,athdiv
29-14,QL340,gremim
29-15,YG192,hakdac
29-16,QL044,carsub
29-17,QL276,gregla
29-18,KG086,perlev
29-19,QL459,hakarb
29-20,KG055,perlev
29-21,T181,agaodo
29-22,QL271,gregla
29-23,KG053,perlev
29-24,T202,cennit
29-25,KG028,perlev
29-26,T033,oriaci
29-27,T027,oriaci
29-28,YG132,gremuc
29-29,KG094,xylpyr
29-30,KG011,haklae
29-31,T173,teltru
29-32,QL465,hakarb
29-33,QL461,hakarb
29-34,T046,orirev
29-35,KG114,greser
29-36,RH047,greane
29-37,QL068,grehil
29-38,T045,orirev
29-39,RH051,greane
29-40,QL254,perfal
29-41,QL095,grepar
29-42,T119,oridiv
29-43,QL019,opihet
29-44,QL297,gregla
29-45,YG174,hakdac
29-46,KG127,greser
29-47,KG115,greser
29-48,T099,teltru
30-01,T035,oriaci
30-02,T124,oridiv
30-03,QL285,xylsco
30-04,T354,lomtin
30-05,T174,teltru
30-06,QL007,athdiv
30-07,QL102,grepar
30-08,T080,banmar
30-09,T191,agaodo
30-10,QL352,grepar
30-11,QL345,gremim
30-12,T170,teltru
30-13,T352,lomtin
30-14,KG010,haklae
30-15,QL343,gremim
30-16,YG177,perlan
30-17,T120,oridiv
30-18,T101,teltru
30-19,KG109,xylpyr
30-20,T197,cennit
30-21,QL464,hakarb
30-22,YG195,grebux
30-23,YG190,hakdac
30-24,QL099,grepar
30-25,T029,oriaci
30-26,RH066,greill
30-27,QL278,gregla
30-28,T078,banmar
30-29,T353,lomtin
30-30,RH073,greill
30-31,YG133,gremuc
30-32,T207,perjun
30-33,KG130,xylpyr
30-34,QL003,athdiv
30-35,QL294,gregla
30-36,T361,lomtin
30-37,QL026,darfer
30-38,T213,perjun
30-39,QL457,hakarb
30-40,KG129,xylpyr
30-41,T230,banmar
30-42,KG020,grespe
30-43,QL060,grehil
30-44,T279,banmar
30-45,QL253,perfal
30-46,YG207,hakdac
30-47,RH049,greane
30-48,KG073,haklae
31-01,T031,oriaci
31-02,QL338,gremim
31-03,QL440,hakcho
31-04,T312,hakmeg
31-05,RH075,hakleu
31-06,QL364,grestr
31-07,RH114,grestr
31-08,RH078,hakleu
31-09,QL366,grestr
31-10,T309,hakmeg
31-11,T315,hakmeg
31-12,QL436,hakcho
31-13,T002,haklis
31-14,QL360,grestr
31-15,RH116,grestr
31-16,T308,hakmeg
31-17,RH081,hakleu
31-18,T009,haklis
31-19,T316,hakmeg
31-20,T003,haklis
31-21,QL430,hakcho
31-22,QL368,grestr
31-23,T006,haklis
31-24,RH022,haktep
31-25,T313,hakmeg
31-26,QL358,grestr
31-27,RH030,haktep
31-28,RH076,hakleu
31-29,QL359,grestr
31-30,RH082,hakleu
31-31,T001,haklis
31-32,QL363,grestr
31-33,T307,hakmeg
31-34,RH077,hakleu
31-35,T007,haklis
31-36,RH083,hakleu
31-37,RH080,hakleu
31-38,QL362,grestr
31-39,RH107,grestr
31-40,T317,hakmeg
31-41,QL432,hakcho
31-42,QL434,hakcho
31-43,RH112,grestr
31-44,RH106,grestr
31-45,RH110,grestr
31-46,QL435,hakcho
31-47,QL298,gregla
31-48,QL431,hakcho
32-01,T005,haklis
32-02,T311,hakmeg
32-03,QL438,hakcho
32-04,QL367,grestr
32-05,RH108,grestr
32-06,QL030,darfer
32-07,RH043,greane
32-08,RH025,haktep
32-09,RH111,grestr
32-10,QL096,grepar
32-11,RH115,grestr
32-12,QL439,hakcho
32-13,RH029,haktep
32-14,RH027,haktep
32-15,T010,haklis
32-16,RH023,haktep
32-17,T011,haklis
32-18,RH024,haktep
,T408,eucten
,T400,eucten
,T342,eucglo
,T338,eucglo
,YG073,eucpun
,KG140,corgum
,YG185,corexi
,KG048,euchae
,RH062,eucsoc
,RH008,eucdum
,KG080,euchae
,KG104,eucobl
,RH004,eucdum
,YG126,eucpun
,T334,eucglo
,T020,euccoc
,YG201,corexi
,QL223,eucter
,QL225,eucter
,RH054,eucsoc
,YG079,angcos
,QL224,eucter
,RH012,eucdum
,KG136,eucobl
,QL322,eucdis
,QL301,eucmed
,T248,eucrub
DP064,YG136,eucspa
,QL413,eucpru
,QL409,eucpru
,T383,eucrub
,KG100,angcos
,QL302,eucmed
,T056,eucdel
,KG116,eucobl
,RH058,eucsoc
,QL220,eucatr
,YG078,angcos
,T252,eucrub
,KG120,angcos
,KG132,angcos
,T164,eucnit
,T224,eucten
,YG042,eucpun
,T244,eucrub
,QL387,corpoc
,T160,eucnit
,QL222,eucatr
,T220,eucten
,QL386,corpoc
,YG028,melpal
,QL221,eucatr
,QL417,eucpru
,T228,eucten
,T326,eucamy
,QL385,corpoc
