sample,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
QL077,acaman,-17.96665,145.96806,sen,2,QLD_Mt_Mackay,150808
QL073,acaman,-17.96665,145.96806,sen,1,QLD_Mt_Mackay,150808
T134,acamel,-42.77492,146.39731,mid,3,TAS_Frodshams_Pass,150306
T133,acamel,-42.77492,146.39731,new,3,TAS_Frodshams_Pass,150306
T128,acamel,-42.77492,146.39731,mid,1,TAS_Frodshams_Pass,150306
T129,acamel,-42.77492,146.39731,old,1,TAS_Frodshams_Pass,150306
T130,acamel,-42.77492,146.39731,new,2,TAS_Frodshams_Pass,150306
T132,acamel,-42.77492,146.39731,old,2,TAS_Frodshams_Pass,150306
T135,acamel,-42.77492,146.39731,old,3,TAS_Frodshams_Pass,150306
T127,acamel,-42.77492,146.39731,new,1,TAS_Frodshams_Pass,150306
T131,acamel,-42.77492,146.39731,mid,2,TAS_Frodshams_Pass,150306
T294,acamel,-42.10667,148.33655,new,3,TAS_Freycinet,150311
T291,acamel,-42.10667,148.33655,mid,2,TAS_Freycinet,150311
T292,acamel,-42.10667,148.33655,old,2,TAS_Freycinet,150311
T288,acamel,-42.10667,148.33655,old,1,TAS_Freycinet,150311
T296,acamel,-42.10667,148.33655,old,3,TAS_Freycinet,150311
T295,acamel,-42.10667,148.33655,mid,3,TAS_Freycinet,150311
T286,acamel,-42.10667,148.33655,new,1,TAS_Freycinet,150311
T290,acamel,-42.10667,148.33655,new,2,TAS_Freycinet,150311
T287,acamel,-42.10667,148.33655,mid,1,TAS_Freycinet,150311
T289,acamel,-42.10667,148.33655,sen,1,TAS_Freycinet,150311
T293,acamel,-42.10667,148.33655,sen,2,TAS_Freycinet,150311
T297,acamel,-42.10667,148.33655,sen,3,TAS_Freycinet,150311
T141,acamuc,-42.75833,146.40609,old,2,TAS_Frodshams_Pass,150306
T144,acamuc,-42.75833,146.40609,old,3,TAS_Frodshams_Pass,150306
T142,acamuc,-42.75833,146.40609,new,3,TAS_Frodshams_Pass,150306
T136,acamuc,-42.75833,146.40609,new,1,TAS_Frodshams_Pass,150306
T143,acamuc,-42.75833,146.40609,mid,3,TAS_Frodshams_Pass,150306
T137,acamuc,-42.75833,146.40609,mid,1,TAS_Frodshams_Pass,150306
T138,acamuc,-42.75833,146.40609,old,1,TAS_Frodshams_Pass,150306
T139,acamuc,-42.75833,146.40609,new,2,TAS_Frodshams_Pass,150306
T140,acamuc,-42.75833,146.40609,mid,2,TAS_Frodshams_Pass,150306
RH089,acaosw,-30.7094,141.87689,new,2,NSW_Fowlers_Gap,150409
RH085,acaosw,-30.7094,141.87689,new,1,NSW_Fowlers_Gap,150409
RH094,acaosw,-30.7094,141.87689,mid,3,NSW_Fowlers_Gap,150409
RH086,acaosw,-30.7094,141.87689,mid,1,NSW_Fowlers_Gap,150409
RH093,acaosw,-30.7094,141.87689,new,3,NSW_Fowlers_Gap,150409
RH095,acaosw,-30.7094,141.87689,old,3,NSW_Fowlers_Gap,150409
RH090,acaosw,-30.7094,141.87689,mid,2,NSW_Fowlers_Gap,150409
RH087,acaosw,-30.7094,141.87689,old,1,NSW_Fowlers_Gap,150409
RH091,acaosw,-30.7094,141.87689,old,2,NSW_Fowlers_Gap,150409
RH092,acaosw,-30.7094,141.87689,sen,3,NSW_Fowlers_Gap,150409
RH088,acaosw,-30.7094,141.87689,sen,2,NSW_Fowlers_Gap,150409
RH084,acaosw,-30.7094,141.87689,sen,1,NSW_Fowlers_Gap,150409
YG011,acapar,-32.78244,150.92318,old,1,NSW_Yengo_N,140419
YG010,acapar,-32.78244,150.92318,mid,1,NSW_Yengo_N,140419
YG009,acapar,-32.78244,150.92318,new,1,NSW_Yengo_N,140419
YG062,acapar,-32.78244,150.92318,old,2,NSW_Yengo_N,140524
YG064,acapar,-32.78244,150.92318,mid,2,NSW_Yengo_N,140524
