sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
QL054,104.982301,13512.76745
T389,93.59967293,15429.93027
YG099,137.00171,15859.47952
T258,63.41642709,4655.336255
YG064,140.2141738,15245.94153
YG161,109.3983656,19234.83015
QL118,87.36108955,12296.56889
KG043,94.00392314,14053.44096
QL208,68.2478633,12953.97037
QL370,60.39785656,11207.96797
KG004,46.33568102,10049.02073
YG103,141.3706017,25943.08442
T301,77.96108345,12253.84839
KG035,84.60634298,11287.17739
YG143,118.4282047,23287.89074
T347,91.88070577,10922.51925
RH039,82.93365055,22922.55274
T368,46.30556643,11561.12743
KG016,58.1381677,14190.83499
QL192,51.97205213,11931.14381
T306,88.93869031,10077.39216
QL388,81.84684515,20136.7947
T350,89.65064609,11999.42537
RH094,40.3933131,10609.28205
T291,78.05584557,18127.32651
T066,120.0219431,12871.95708
QL265,99.83632753,19203.91693
YG100,137.0093618,13322.65825
QL071,118.8567653,16179.12207
RH035,67.86813852,21679.62382
YG096,76.6088744,13599.01411
QL212,60.49934541,11909.52626
T142,76.39818875,13439.91848
KG008,78.89282371,14259.4199
YG150,145.5298614,19310.82466
T082,62.23866542,9691.960676
YG145,111.14632,23669.04311
QL262,99.29226857,18012.47853
YG160,96.73437242,18397.18858
YG158,129.791254,15513.24841
T128,89.25186921,24828.56343
RH009,55.38710797,15172.26163
YG203,77.71734017,23580.66697
QL395,118.6307451,30736.75481
QL078,149.8171679,16302.60131
T253,133.0922069,14138.23696
QL392,92.26249597,21138.3271
QL213,73.83342065,11498.52245
T345,81.63437125,9170.097294
YG104,131.0604142,26541.77807
RH019,73.74240995,27070.70391
RH034,87.95005233,24496.60932
YG092,141.1845068,23348.66617
QL120,65.05735413,10849.09765
RH031,151.9587882,44776.2785
T129,106.9353168,29704.16403
RH086,112.7929788,21076.08404
KG007,110.1559657,22592.46298
QL074,144.1697195,20320.76709
T394,126.8782324,27864.70484
T299,94.56933888,18754.57992
RH040,77.65656753,27570.95892
YG097,89.15288607,19345.74577
QL264,112.8539404,22608.8755
QL196,126.8948374,19398.79161
YG153,152.6865277,23438.32554
T366,121.3170612,27326.83028
QL050,156.761464,21249.95313
QL396,126.2255786,27632.83913
YG162,162.017905,23554.07912
T343,198.600495,23903.48501
T292,108.1060671,20233.47146
YG151,168.7784171,23334.31956
QL127,102.6346067,15383.61393
RH013,123.6449975,32666.41974
T130,104.7995243,29339.3259
T363,58.90911188,14254.75898
T288,93.35504549,23030.88143
QL209,102.7389575,20250.66312
QL394,106.8558497,28216.57109
RH037,195.1882426,39315.00487
RH093,74.67591964,18313.52838
T090,106.7341232,21886.74115
T390,153.4962051,34487.15566
T068,174.9681515,19487.52756
T349,143.874582,14400.35658
T061,178.9501329,17642.39421
QL371,86.50671704,16466.1899
YG140,132.6405856,26440.71051
T256,104.3958762,13186.20156
T362,98.01302304,19690.28574
QL393,90.94793867,20769.42786
KG042,154.1028831,27741.99611
QL376,79.34331471,15090.27715
T395,111.7925938,24631.62824
T300,74.05893627,14492.57369
T296,116.6805082,23975.11954
QL188,122.7665429,21796.18132
QL379,86.56933848,15068.28036
YG149,83.36526492,21509.89428
T351,142.2992745,15642.01601
RH095,36.76912604,11786.03931
KG070,68.98903948,15830.90637
T085,118.779737,18971.72266
QL215,72.44792552,12376.96149
QL375,85.42611709,15428.28705
KG032,147.9893662,25213.99032
QL266,96.08919683,16887.06045
QL079,124.4513371,16732.1338
QL124,72.99643857,12450.99291
KG071,92.98987959,21243.98275
T064,200.3576744,14398.25331
KG046,112.6852076,24116.04129
YG152,154.2656349,21636.88411
T063,139.2200641,20701.21371
QL123,93.07679486,12559.73613
