sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
KG118,78.047768,23118.85131,0.10839101
RH125,75.07914368,23416.0339,0.106843653
QL242,79.49567299,18571.00786,0.133972255
RH104,54.55969099,22842.91907,0.108921841
T217,83.97912475,28845.74587,0.086061871
QL311,48.29931807,13192.98734,0.189450001
T247,99.3324894,28169.70173,0.088372849
T226,82.79508125,23344.45315,0.107343843
RH120,101.0535139,18454.57382,0.135969743
QL410,49.6612773,14530.67097,0.173460124
QL326,52.43290169,12015.66584,0.209081125
YG168,58.16916233,18435.63387,0.135266506
QL174,76.7388789,16902.44673,0.14819291
T325,35.77730395,11055.98893,0.225225871
T147,67.39238504,22088.18691,0.112895998
T223,78.15378126,26678.55155,0.092724488
RH096,59.75755912,21944.41564,0.113813938
KG051,100.6822992,31514.12901,0.080204645
QL405,67.82094855,21845.36691,0.115248462
T381,94.73197589,23602.28192,0.106210244
T401,114.058721,27883.17379,0.089893374
QL156,47.43882283,7887.409639,0.317480424
RH064,43.75604794,18225.95173,0.136239258
RH119,75.19374334,25563.59683,0.098158384
YG128,161.3721233,31357.83181,0.079519527
YG085,161.4476576,21395.96394,0.117338051
YG086,92.75983128,15191.63117,0.163670175
YG129,126.3767108,24721.7194,0.101220585
YG125,132.5306395,35766.28817,0.069564239
YG120,167.9940873,35428.76262,0.070839078
YG127,96.55360665,25752.15539,0.097512551
YG123,100.7848931,23828.6535,0.104605152
YG124,87.91955478,21073.07918,0.118275812
YG137,98.40557885,26595.47627,0.094460244
YG084,117.6356163,15905.19485,0.156885626
T294,71.12022642,13639.90374,0.184323423
RH089,62.36240134,13174.33599,0.189150288
KG090,83.73269029,16309.29456,0.153014064
T141,34.7807602,10094.70194,0.246155878
T384,66.15233193,10543.18522,0.237483787
T144,43.17313408,13623.02009,0.184509962
T254,45.49596325,4864.143461,0.513079285
T386,88.74059344,20253.97523,0.122648232
QL216,47.31259675,7034.077725,0.355139172
RH085,55.83612625,13116.41457,0.190500999
T084,56.73230234,11434.68946,0.217246893
T069,93.59546679,13406.58591,0.185816087
YG062,119.5698315,13004.7118,0.191705501
YG094,71.42075895,8761.966692,0.285030024
KG047,55.54665281,13807.21541,0.180284884
YG141,77.32401088,11854.75817,0.211207628
QL072,81.68266166,11378.48037,0.219222646
T065,72.940773,8208.293289,0.304702049
QL390,51.47388387,12831.03349,0.193974028
RH021,32.78747759,13337.38668,0.187971444
QL126,56.11113572,8929.80508,0.280874029
T346,75.36071902,8653.883788,0.288112194
QL119,55.49196552,8251.470678,0.302488826
YG147,75.34439386,10444.72733,0.240356716
QL211,56.09632404,9567.12251,0.262031863
QL428,52.02193964,12104.38837,0.207480696
T303,54.40529046,13347.36877,0.188321703
QL214,46.02672049,9149.834501,0.271855269
QL076,71.88640056,8777.101572,0.284642487
KG091,76.97244089,9623.419783,0.260974846
T257,45.74324686,5013.423147,0.497870614
T391,81.78653797,17708.78711,0.140451713
T305,45.67839598,6608.170473,0.378205497
YG146,91.53803161,13091.26943,0.191719384
RH015,33.79251441,11681.70748,0.212958984
T304,60.64955035,8507.453446,0.292415392
T088,94.25249661,12903.89552,0.193862844
RH014,48.74829841,14379.26815,0.175254744
QL052,75.63251818,12437.3778,0.20015826
YG117,85.39762845,10140.93762,0.247493446
T134,80.94644743,20342.20198,0.12219959
T067,91.15237803,10093.53926,0.247947618
T133,84.35644282,19988.60926,0.124920389
T087,55.32895905,13287.18851,0.188445978
YG105,88.03066986,13002.62409,0.192638487
QL389,111.840282,26051.78406,0.095959636
QL054,104.982301,13512.76745,0.184954012
T389,93.59967293,15429.93027,0.161829756
YG099,137.00171,15859.47952,0.15739595
T258,63.41642709,4655.336255,0.537177783
YG064,140.2141738,15245.94153,0.164037072
YG161,109.3983656,19234.83015,0.129797121
QL118,87.36108955,12296.56889,0.202647331
KG043,94.00392314,14053.44096,0.177371946
QL208,68.2478633,12953.97037,0.193596432
QL370,60.39785656,11207.96797,0.223310252
KG004,46.33568102,10049.02073,0.249136369
YG103,141.3706017,25943.08442,0.096584418
T301,77.96108345,12253.84839,0.203425778
KG035,84.60634298,11287.17739,0.221886499
YG143,118.4282047,23287.89074,0.107906977
T347,91.88070577,10922.51925,0.228667818
RH039,82.93365055,22922.55274,0.108290958
T368,46.30556643,11561.12743,0.215880685
KG016,58.1381677,14190.83499,0.174869531
QL192,51.97205213,11931.14381,0.208360504
T306,88.93869031,10077.39216,0.248341435
QL388,81.84684515,20136.7947,0.124587963
T350,89.65064609,11999.42537,0.208494195
RH094,40.3933131,10609.28205,0.235331695
T291,78.05584557,18127.32651,0.137902639
T066,120.0219431,12871.95708,0.194785105
QL265,99.83632753,19203.91693,0.130196488
YG100,137.0093618,13322.65825,0.187894257
QL071,118.8567653,16179.12207,0.155188211
RH035,67.86813852,21679.62382,0.115942752
YG096,76.6088744,13599.01411,0.18485078
QL212,60.49934541,11909.52626,0.210102035
T142,76.39818875,13439.91848,0.186258537
KG008,78.89282371,14259.4199,0.175413119
YG150,145.5298614,19310.82466,0.129751989
T082,62.23866542,9691.960676,0.258030676
YG145,111.14632,23669.04311,0.105369139
QL262,99.29226857,18012.47853,0.138230122
YG160,96.73437242,18397.18858,0.136474624
YG158,129.791254,15513.24841,0.160941903
T128,89.25186921,24828.56343,0.100698045
RH009,55.38710797,15172.26163,0.165728219
