sample,mg_Cl_a_per_m2,mg_Cl_b_per_m2,mg_Cl_total_per_m2,umol_Cl_a_per_m2,umol_Cl_b_per_m2,umol_Cl_total_per_m2
QL357,,,,,,
QL358,,,,,,
QL359,,,,,,
QL360,,,,,,
QL361,,,,,,
QL362,,,,,,
QL363,,,,,,
QL364,,,,,,
QL365,,,,,,
QL366,,,,,,
QL367,,,,,,
QL368,,,,,,
QL369,,,,,,
QL370,,,,,,
QL371,,,,,,
QL372,,,,,,
QL373,,,,,,
QL374,,,,,,
QL375,,,,,,
QL376,,,,,,
QL377,,,,,,
QL378,,,,,,
QL379,,,,,,
QL380,,,,,,
QL381,,,,,,
QL382,,,,,,
QL383,,,,,,
QL384,,,,,,
QL385,,,,,,
QL386,,,,,,
QL387,,,,,,
QL388,,,,,,
QL389,,,,,,
QL390,,,,,,
QL391,,,,,,
QL392,,,,,,
QL393,,,,,,
QL394,,,,,,
QL395,,,,,,
QL396,,,,,,
QL397,727.6668764,121.0363044,848.7031808,813.9450519,135.3873651,949.332417
QL398,476.5963854,85.09120698,561.6875924,533.1055766,95.180321,628.2858976
QL399,385.4558844,67.05061358,452.506498,431.1587074,75.00068633,506.1593937
QL400,391.5727659,72.13955652,463.7123224,438.0008567,80.69301624,518.6938729
QL401,226.4725205,38.7089445,265.181465,253.324967,43.29859564,296.6235627
QL402,392.5828302,75.88241921,468.4652494,439.1306825,84.87966355,524.0103461
QL403,516.7746416,91.66565625,608.4402979,578.0476976,102.5342911,680.5819887
QL404,386.178494,77.30161115,463.4801051,431.9669955,86.46712656,518.4341221
QL405,466.6697757,93.28162051,559.9513962,522.0019862,104.3418574,626.3438436
QL406,273.1222898,48.87107692,321.9933667,305.505917,54.66563414,360.1715512
QL407,699.076782,133.7492274,832.8260094,781.9650805,149.6076369,931.5727175
QL408,410.4561679,80.51939055,490.9755584,459.1232303,90.06643238,549.1896627
QL409,,,,,,
QL410,233.1973291,39.0042898,272.2016189,260.8471243,43.6289595,304.4760838
QL411,559.7260932,95.91256456,655.6386578,626.0918269,107.2847478,733.3765747
QL412,607.8497116,110.1932495,718.0429611,679.9213777,123.2586684,803.180046
QL413,,,,,,
QL414,414.5287258,81.06141212,495.590138,463.6786642,90.67272049,554.3513847
