variable,full name,unit of measurement,description,data source,URL
tmax,Max Temperature of Warmest Month,oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.4,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
tmax_recent_month,Mean temperature of recent month,oC,"Mean daily temperature for month immediately prior to sampling, derived as average maximum daily temperatures",Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/
tmax_recent_year,Mean temperature of recent year,oC,"Mean daily temperature for year immediately prior to sampling, derived as average maximum daily temperatures",Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/
tmin,Min Temperature of Coldest Month,oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.5,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
trng,Temperature Annual Range (tmax-tmin),oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.6,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
tsea,Temperature Seasonality (standard deviation *100),oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.3,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
twet,Mean Temperature of Wettest Quarter,oC,"Derived from monthly mean precipitation and minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.7,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
twrm,Mean Temperature of Warmest Quarter,oC,"Derived from minimum and maximum monthly mean temperatures, using dismo::biovars in R, data time series 1976-2005, 0.01deg resolution",ANUClimate v1.9,http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-max_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_temperature-min_monthly-mean_0-01deg_1976-2005.html ; http://dapds00.nci.org.au/thredds/catalogs/rr9_new/collection/dataset/ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005.html?dataset=ANUClimate_v1-0_rainfall_monthly-mean_0-01deg_1976-2005_agg
VPD_recent_month,Vapour pressure deficit of recent month,kPa,Mean daily vapour pressure deficit (VPD) for month prior to sampling. Calculated using vapour pressure at 9am and average daily temperature.,Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/vprp/vprph09/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/minave/daily/grid/0.05/history/nat/
VPD_recent_year,Vapour pressure deficit of recent year,kPa,Mean daily vapour pressure deficit (VPD) for year prior to sampling. Calculated using vapour pressure at 9am and average daily temperature.,Australian Government Bureau of Meteorology Australian Water Availability Project (AWAP),http://www.bom.gov.au/web03/ncc/www/awap/vprp/vprph09/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/maxave/daily/grid/0.05/history/nat/ ; http://www.bom.gov.au/web03/ncc/www/awap/temperature/minave/daily/grid/0.05/history/nat/
ID,Species*site identifier,,"Each species*site combination has a unique identifier. This ID is associated with 9 samples - new, mid and old leaves from each of 3 individuals.",,
sample,Sample ID,,A unique identifier for each leaf sample,,
