site_id,tavg_recent_month,tmax_recent_month,prec_recent_month,VPD_recent_month,Latitude,Longitude,site_revised,date
66,19.03416661,23.99299997,158.1999999,-4.911885863,-32.78244,150.92318,NSW_Yengo_N,7/06/2014
66,19.03416661,23.99299997,158.1999999,-4.911885863,-32.78244,150.92318,NSW_Yengo_N,25/05/2014
66,19.03416661,23.99299997,158.1999999,-4.911885863,-32.78244,150.92318,NSW_Yengo_N,8/06/2014
66,19.03416661,23.99299997,158.1999999,-4.911885863,-32.78244,150.92318,NSW_Yengo_N,20/04/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,25/05/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,7/06/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,8/06/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,9/06/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,20/04/2014
67,13.644,19.74733334,8.99999994,-3.865855762,-32.7817,150.9291,NSW_Yengo_N,26/05/2014
68,15.18449997,20.33166663,50.70000141,-4.688210493,-33.68188,151.14428,NSW_Kuringai_bottom,18/06/2014
68,15.18449997,20.33166663,50.70000141,-4.688210493,-33.68188,151.14428,NSW_Kuringai_bottom,12/06/2014
68,15.18449997,20.33166663,50.70000141,-4.688210493,-33.68188,151.14428,NSW_Kuringai_bottom,13/06/2014
68,15.18449997,20.33166663,50.70000141,-4.688210493,-33.68188,151.14428,NSW_Kuringai_bottom,17/06/2014
69,16.24749993,22.06066659,12.80000011,-5.480267331,-33.6933,151.14541,NSW_Kuringai_top,3/06/2014
69,16.24749993,22.06066659,12.80000011,-5.480267331,-33.6933,151.14541,NSW_Kuringai_top,4/06/2014
69,16.24749993,22.06066659,12.80000011,-5.480267331,-33.6933,151.14541,NSW_Kuringai_top,11/06/2014
69,16.24749993,22.06066659,12.80000011,-5.480267331,-33.6933,151.14541,NSW_Kuringai_top,29/05/2014
70,15.77933327,21.27399991,44.40000125,-4.945166169,-33.67856,151.14825,NSW_Kuringai_bottom,12/06/2014
70,15.77933327,21.27399991,44.40000125,-4.945166169,-33.67856,151.14825,NSW_Kuringai_bottom,13/06/2014
70,15.77933327,21.27399991,44.40000125,-4.945166169,-33.67856,151.14825,NSW_Kuringai_bottom,17/06/2014
