sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
QL426,acahem,acahem,-19.04745,138.8575,new,3,QLD_Lawn_Hill,150825
QL428,acahem,acahem,-19.04745,138.8575,old,3,QLD_Lawn_Hill,150825
QL429,acahem,acahem,-19.04745,138.8575,sen,3,QLD_Lawn_Hill,150825
QL257,acahol,acahol,-18.32728,145.45414,mid,1,QLD_Princess_Hill,150818
QL256,acahol,acahol,-18.32728,145.45414,new,1,QLD_Princess_Hill,150818
QL258,acahol,acahol,-18.32728,145.45414,old,1,QLD_Princess_Hill,150818
QL259,acahol,acahol,-18.32728,145.45414,sen,1,QLD_Princess_Hill,150818
QL261,acahol,acahol,-18.31625,145.46642,mid,2,QLD_Princess_Hill,150818
QL260,acahol,acahol,-18.31625,145.46642,new,2,QLD_Princess_Hill,150818
QL262,acahol,acahol,-18.31625,145.46642,old,2,QLD_Princess_Hill,150818
QL263,acahol,acahol,-18.31625,145.46642,sen,2,QLD_Princess_Hill,150818
QL265,acahol,acahol,-18.31625,145.46642,mid,3,QLD_Princess_Hill,150818
QL264,acahol,acahol,-18.31625,145.46642,new,3,QLD_Princess_Hill,150818
QL266,acahol,acahol,-18.31625,145.46642,old,3,QLD_Princess_Hill,150818
QL267,acahol,acahol,-18.31625,145.46642,sen,3,QLD_Princess_Hill,150818
YG033,acaimp,acaimp,-32.7817,150.9291,mid,1,NSW_Yengo_N,140420
YG035,acaimp,acaimp,-32.7817,150.9291,new,1,NSW_Yengo_N,140420
YG034,acaimp,acaimp,-32.7817,150.9291,old,1,NSW_Yengo_N,140420
YG032,acaimp,acaimp,-32.7817,150.9291,sen,1,NSW_Yengo_N,140420
YG097,acaimp,acaimp,-32.7817,150.9291,mid,2,NSW_Yengo_N,140526
YG098,acaimp,acaimp,-32.7817,150.9291,new,2,NSW_Yengo_N,140526
YG096,acaimp,acaimp,-32.7817,150.9291,old,2,NSW_Yengo_N,140526
YG095,acaimp,acaimp,-32.7817,150.9291,sen,2,NSW_Yengo_N,140526
YG116,acaimp,acaimp,-32.7817,150.9291,mid,3,NSW_Yengo_N,140607
YG117,acaimp,acaimp,-32.7817,150.9291,new,3,NSW_Yengo_N,140607
YG115,acaimp,acaimp,-32.7817,150.9291,old,3,NSW_Yengo_N,140607
YG114,acaimp,acaimp,-32.7817,150.9291,sen,3,NSW_Yengo_N,140607
YG150,acaimp,acaimp,-32.7817,150.9291,mid,4,NSW_Yengo_N,140608
YG151,acaimp,acaimp,-32.7817,150.9291,new,4,NSW_Yengo_N,140608
YG149,acaimp,acaimp,-32.7817,150.9291,old,4,NSW_Yengo_N,140608
YG148,acaimp,acaimp,-32.7817,150.9291,sen,4,NSW_Yengo_N,140608
YG153,acaimp,acaimp,-32.7817,150.9291,mid,5,NSW_Yengo_N,140609
YG154,acaimp,acaimp,-32.7817,150.9291,new,5,NSW_Yengo_N,140609
YG152,acaimp,acaimp,-32.7817,150.9291,old,5,NSW_Yengo_N,140609
KG031,acalon,acalon,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140603
KG032,acalon,acalon,-33.6933,151.14541,new,1,NSW_Kuringai_top,140603
KG030,acalon,acalon,-33.6933,151.14541,old,1,NSW_Kuringai_top,140603
KG029,acalon,acalon,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140603
KG042,acalon,acalon,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140604
KG043,acalon,acalon,-33.6933,151.14541,new,2,NSW_Kuringai_top,140604
KG041,acalon,acalon,-33.6933,151.14541,old,2,NSW_Kuringai_top,140604
KG040,acalon,acalon,-33.6933,151.14541,sen,2,NSW_Kuringai_top,140604
KG090,acalon,acalon,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140611
