sample,N,C,H,S
KG052,0.4604,51.9887,6.382,0.011
KG053,0.7152,50.1767,5.83,0.031
KG054,0.8315,49.9138,5.849,0.026
KG055,0.8287,50.0657,5.869,0.038
KG056,0.3722,54.6367,7.245,0.034
KG057,0.7079,56.0365,6.966,0.058
KG058,0.4122,53.7359,6.694,0.041
KG060,0.313,54.9091,6.985,0.027
KG061,0.7273,54.8619,7.233,0.03
KG063,0.8679,52.7639,6.272,0.05
KG064,0.313,54.5574,6.573,0.042
KG065,0.7803,57.0338,7.054,0.054
KG068,1.0361,53.6063,6.405,0.035
KG069,1.4157,56.502,6.186,0.086
KG072,0.2318,55.2954,6.468,0.042
KG073,0.7029,53.3718,6.407,0.063
KG074,0.7191,53.5045,6.423,0.028
KG075,0.5688,53.9967,6.416,0.054
KG084,0.3727,55.2009,6.449,0.066
KG085,0.9032,50.3857,6.576,0.028
KG087,0.8455,50.285,5.866,0.037
KG088,1.0701,53.3112,6.981,0.078
KG089,1.8665,51.0784,5.866,0.14
KG090,2.4517,51.3869,5.885,0.192
KG091,2.7238,51.0684,5.948,0.212
KG092,0.403,50.5913,5.667,0.095
KG093,0.7756,49.2698,6.49,0.021
KG094,0.9307,49.3669,5.799,0.073
KG095,0.9962,49.7393,5.929,0.078
KG096,0.4467,54.7805,6.546,0.067
KG097,0.7667,50.7773,6.023,0.07
KG098,0.366,51.8616,6.329,0.051
KG099,0.708,54.9905,6.98,0.052
KG108,0.4027,49.8492,5.714,0.038
KG109,0.5651,49.9773,5.942,0.062
KG111,0.9312,50.3528,5.746,0.058
KG112,0.352,52.5359,6.657,0.021
KG113,0.7347,52.3767,6.629,0.037
KG114,0.7753,52.1155,6.841,0.033
KG115,0.671,52.8842,7.445,0.033
KG124,0.3149,51.364,5.837,0.034
KG125,0.8523,51.257,6.496,0.031
KG127,0.3252,49.231,6.291,0.028
KG128,0.4585,50.4818,6.387,0.017
KG129,0.7131,50.1912,6.661,0.04
KG131,0.9059,50.028,5.937,0.06
QL013,2.428,50.9625,6.59,0.031
QL014,1.3875,51.4108,6.564,0.072
QL015,1.2003,51.0808,6.637,0.046
QL016,1.338,50.4788,6.573,0.057
QL017,1.1665,49.3075,6.466,0.063
QL018,0.8748,50.5283,6.348,0.043
QL020,1.0348,51.627,6.506,0.044
QL021,0.8426,51.3987,6.462,0.037
QL023,1.5292,51.9047,5.806,0.146
QL024,1.1339,52.1961,6.526,0.15
QL025,0.8213,52.411,6.068,0.246
QL026,1.8888,52.4923,6.58,0.086
QL028,1.384,50.7848,5.963,0.17
QL029,0.7944,51.3343,5.779,0.152
QL031,2.0887,50.8831,5.986,0.157
QL032,1.2299,53.1449,6.801,0.077
QL033,0.8665,51.6164,5.794,0.141
QL034,1.286,45.8066,5.578,0.085
QL035,1.2083,46.1888,6.328,0.049
QL036,1.194,46.0896,5.597,0.072
